Date,Day,Num_Day,Month,Num_Month,Year,Time,Author,Message
22/11/2021,Lunes,22,Nov,11,2021,13:21:00,user 7,‎Mercado Selenita.vcf (archivo adjunto)
22/11/2021,Lunes,22,Nov,11,2021,13:38:00,user 39,Gracias 😊
22/11/2021,Lunes,22,Nov,11,2021,15:17:00,user 40,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,15:24:00,user 41,"Hola!! Apoyarnos con esta gran causa, vamos a darle alegría a nuestros niños y niñas de barro blanco, en conjunto con la acción comunal, particulares y un paraíso llamado santa elena estamos uniendo fuerzas, uniendo recursos para hacer de este 26 de Diciembre una fecha inolvidable.Quieres ayudar con un regalo, recreación, dinero, con lo que se te ocurra. No importa la cantidad todo viene desde el corazón.Contactanos:whatsapp 3505748472Muchas gracias!!"
22/11/2021,Lunes,22,Nov,11,2021,15:24:00,user 41,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,16:44:00,user 27,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,16:51:00,user 29,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,16:51:00,user 29,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,16:51:00,user 29,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,16:51:00,user 29,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,17:32:00,user 42,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,17:32:00,user 42,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,17:32:00,user 42,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,17:32:00,user 42,Deliciosa panadería Artesanal! Entregas miércoles y viernes 🥐🥖💛
22/11/2021,Lunes,22,Nov,11,2021,17:53:00,user 30,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,18:48:00,user 32,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,Se vende nevera y comedor. Informes al interno que anotaré a continuación
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28, NNNN 
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,"Nevera sharp, 14 pies, 600000, muy buena, solo la coca de verduras está reventada, pero es útil,"
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,"Tavo, comedor en roble, 700000, que ofrezcan"
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:30:00,user 27,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:40:00,user 37,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,08:41:00,user 37,Se vende gran remate
23/11/2021,Martes,23,Nov,11,2021,08:42:00,user 43,En cuanto
23/11/2021,Martes,23,Nov,11,2021,09:02:00,user 44,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,09:55:00,user 45,"""RODOLFO HERNÁNDEZ EL... Rodolfo Hernández Presidente 2022-2026 | Facebook"" LLLL"
23/11/2021,Martes,23,Nov,11,2021,10:34:00,user 28,Buenos días. Por favor si alguien sabe si aquí en Santa hay Efecty. Gracias
23/11/2021,Martes,23,Nov,11,2021,10:36:00,user 46,Si
23/11/2021,Martes,23,Nov,11,2021,10:36:00,user 46,En el barro y en Coopasana
23/11/2021,Martes,23,Nov,11,2021,10:48:00,user 28,Mil gracias por responder. Buen dia
23/11/2021,Martes,23,Nov,11,2021,10:48:00,user 47,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,11:18:00,user 48,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,11:33:00,user 29,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,12:10:00,user 49,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,12:19:00,user 18,Entrega de la Botella con cuarzo a su ganadoraFinca Green Park🥳🥳👏👏👏Anímense a comprar boletas para la rifa del concierto de KAROL G hay muchas disponibles.  Compra la tuya en el whatsapp  NNNN #elrefugioanimalhuellavitalnosnecesita #ayuda#ayudameaayudar #rifa#Padrinos #Madrinashttps://www.instagram.com/p/CWoCrINJeJ7/?utm_medium=share_sheet
23/11/2021,Martes,23,Nov,11,2021,12:59:00,user 50,Busco quien haga 100 delantales para ver quién me pueden recomendar
23/11/2021,Martes,23,Nov,11,2021,13:04:00,user 51,"Donde puedo conseguir hortensias, aqui en santa.Gracias"
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 11,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,Planes de control y prevención frente al tema del hurto en santa elena especialmente parque arvi
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>
